Period(,New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Inflation-Adjusted $),New York LaGuardia -  NY (Inflation-Adjusted $),Albany -  NY (Inflation-Adjusted $),Buffalo -  NY (Inflation-Adjusted $),Rochester -  NY (Inflation-Adjusted $),Long Beach -  CA (Inflation-Adjusted $),Los Angeles -  CA (Inflation-Adjusted $),San Francisco -  CA (Inflation-Adjusted $),Period(,243
2010 - 1,423.21,409.29,378.53,430.01,322.99,388.36,247.91,412.12,403.23,2010 - 1,
2010 - 2,433.93,422.24,381.1,447.35,330.52,409.87,285.78,443.88,451.78,2010 - 2,
2010 - 3,435.59,425.05,374.62,454.55,332.76,401.94,281.6,449.9,449.03,2010 - 3,
2010 - 4,440.2,427.97,385.49,440.91,326.23,401.38,276.13,437.13,444.51,2010 - 4,
2011 - 1,456.46,446.43,406.59,467.29,361.14,440.38,251.91,441.04,450.08,2011 - 1,
2011 - 2,458.51,454.43,406.13,484.03,371.29,464.42,282.31,457.08,476.23,2011 - 2,
2011 - 3,442.86,441.58,388.42,474.25,357.12,446.02,273.81,446.28,456.9,2011 - 3,
2011 - 4,459.24,452.57,412.66,460.33,365.65,456.08,261.91,465.15,478.26,2011 - 4,
2012 - 1,454.84,444.24,413.95,467.92,385.15,462.37,236.36,425.43,426.07,2012 - 1,
2012 - 2,460.68,456.32,411.62,485.72,370.02,477.05,274.2,470.39,479.02,2012 - 2,
2012 - 3,432.71,434.02,372.78,463.09,340.2,448.62,257.43,445.01,447.2,2012 - 3,
2012 - 4,456.03,454.03,396.96,461.55,350.84,462.58,262.12,459.38,475.07,2012 - 4,
2013 - 1,461.3,466.27,400.34,479.41,374.6,459.68,245.28,444.19,461.25,2013 - 1,
2013 - 2,448.87,441.48,401.77,467.73,346.89,463.26,262.49,452.95,475.93,2013 - 2,
2013 - 3,462.25,460.63,409.86,497.68,355.49,473.69,275.82,466.64,476.21,2013 - 3,
2013 - 4,480.36,481.25,431.44,479.38,362.37,465.51,275.32,459.41,480.23,2013 - 4,
2014 - 1,467.39,473.16,420.98,469.31,370.35,446.28,258.23,435.26,446.22,2014 - 1,
2014 - 2,464.19,451.96,432.47,487.01,357.16,462.23,271.98,467.77,478.56,2014 - 2,
2014 - 3,478.52,479.21,431.88,494.71,368.3,473.86,283.5,460.52,474.44,2014 - 3,
2014 - 4,481.94,489.23,439.84,486.34,370.84,476.85,282.47,475.66,497.94,2014 - 4,
2015 - 1,472.65,483.08,425.94,474.64,370.84,459.33,264.95,449.16,465.42,2015 - 1,
2015 - 2,465.66,473.74,418.74,477.8,382.29,476.64,279.38,452.99,480.05,2015 - 2,
2015 - 2,465.66,473.74,418.74,480.14,353.82,476.64,279.38,452.99,480.05,2015 - 2,
2015 - 3,450.79,466.91,386.99,448.52,356.82,461.05,275.56,421.69,459.3,2015 - 3,
2015 - 4,441.6,453.51,382.82,427.78,347.49,459.9,263.18,417.46,455.93,2015 - 4,
2016 - 1,428.94,437.92,366.01,430.73,366.37,462.38,247.12,393.66,432.58,2016 - 1,
2016 - 2,408.69,417.92,355.87,434.12,333.4,454.62,246.86,384.35,433.77,2016 - 2,
2016 - 3,404.97,423.29,343.39,418.58,340.65,438.93,237.53,372.57,408.86,2016 - 3,
2016 - 4,408.84,426.7,353.17,405.08,331.91,442.95,222.87,383.59,429.18,2016 - 4,
2017 - 1,386.65,406.98,331.25,422.16,340.05,443.23,199.21,363.31,413.91,2017 - 1,
2017 - 2,400.93,422.03,343.97,428.12,337.48,470.83,223.57,385.76,428.37,2017 - 2,
2017 - 3,376.45,403.62,313.48,421.52,327.33,436.25,216.58,358.94,380.0,2017 - 3,
2017 - 4,398.44,426.13,345.45,413.13,327.13,438.87,205.64,376.07,402.34,2017 - 4,
2018 - 1,389.2,412.64,332.63,407.87,328.78,431.9,189.59,349.73,378.87,2018 - 1,
2018 - 2,375.77,389.66,333.57,419.04,310.57,423.34,213.8,362.73,387.74,2018 - 2,
2018 - 3,371.16,384.62,327.71,402.52,309.71,400.07,233.15,357.14,375.63,2018 - 3,
2018 - 4,402.95,420.08,359.49,379.77,312.88,402.62,249.86,379.21,416.83,2018 - 4,
2019 - 1,381.03,392.8,334.74,392.5,314.3,392.23,220.43,342.67,387.68,2019 - 1,
2019 - 2,390.33,405.75,337.85,393.68,322.08,410.58,232.71,367.1,407.99,2019 - 2,
2019 - 3,371.09,397.12,322.86,394.07,315.3,392.79,236.82,353.86,384.32,2019 - 3,
2019 - 4,398.58,429.92,355.72,367.26,325.61,394.16,243.12,373.66,421.98,2019 - 4,
2020 - 1,360.86,388.19,323.66,0.0,319.06,374.11,213.87,328.17,371.76,2020 - 1,
Location,New York City - Greater ,New York JFK -  NY ,New York LaGuardia -  NY ,Albany -  NY ,Buffalo -  NY ,Rochester -  NY ,Long Beach -  CA ,Los Angeles -  CA ,San Francisco -  CA ,Period,
Year,,,,,,,,,,,
